timestamp_start,timestamp_end,most_played_artist,most_played_song,artist_duration,song_duration
11/3/2023,11/10/2023,Taylor Swift,Enchanted,361,55
11/10/2023,11/17/2023,Taylor Swift,Enchanted,286,97
11/17/2023,11/24/2023,Ludovico Einaudi,Nuvole Bianche,421,151
11/24/2023,12/1/2023,Taylor Swift,Nuvole Bianche,606,68
12/1/2023,12/8/2023,Taylor Swift,Nuvole Bianche,577,46
12/8/2023,12/15/2023,Taylor Swift,61 Others,112,71
12/15/2023,12/22/2023,16 Others,61 Others,139,38
12/22/2023,12/29/2023,Taylor Swift,61 Others,132,11
12/29/2023,1/5/2024,Taylor Swift,61 Others,13,4
1/5/2024,1/12/2024,Taylor Swift,61 Others,72,20
1/12/2024,1/19/2024,Taylor Swift,61 Others,228,30
1/19/2024,1/26/2024,Westlife,61 Others,77,12
1/26/2024,2/2/2024,Taylor Swift,Enchanted,208,19
2/2/2024,2/9/2024,Ludovico Einaudi,Oltremare,124,22
2/9/2024,2/16/2024,Westlife,61 Others,42,13
2/16/2024,2/23/2024,Westlife,61 Others,95,18
2/23/2024,3/1/2024,Taylor Swift,Enchanted,163,19
3/1/2024,3/8/2024,Justin Bieber,61 Others,60,25
3/8/2024,3/15/2024,Justin Bieber,As Long As You Love Me,82,35
3/15/2024,3/22/2024,Lana Del Rey,61 Others,878,188
3/22/2024,3/29/2024,Lana Del Rey,61 Others,497,76
3/29/2024,4/5/2024,Lana Del Rey,Nuvole Bianche,158,44
4/5/2024,4/12/2024,Taylor Swift,61 Others,167,19
4/12/2024,4/19/2024,16 Others,61 Others,22,12
4/19/2024,4/26/2024,Sơn Tùng M-TP,Nơi Này Có Anh,535,412
4/26/2024,5/3/2024,JustaTee,61 Others,544,257
5/3/2024,5/10/2024,JustaTee,Nơi Này Có Anh,385,187
5/10/2024,5/17/2024,Andiez,61 Others,824,656
5/17/2024,5/24/2024,Andiez,61 Others,750,506
5/24/2024,5/31/2024,Andiez,61 Others,272,145
5/31/2024,6/7/2024,Sơn Tùng M-TP,Nơi Này Có Anh,548,276
6/7/2024,6/14/2024,Sơn Tùng M-TP,Nơi Này Có Anh,1450,344
6/14/2024,6/21/2024,Sơn Tùng M-TP,Nơi Này Có Anh,652,125
6/21/2024,6/28/2024,Sơn Tùng M-TP,61 Others,669,103
6/28/2024,7/5/2024,Sơn Tùng M-TP,Nơi Này Có Anh,160,72
7/5/2024,7/12/2024,Sơn Tùng M-TP,Nơi Này Có Anh,164,69
7/12/2024,7/19/2024,Sơn Tùng M-TP,Nơi Này Có Anh,241,59
7/19/2024,7/26/2024,Sơn Tùng M-TP,Nơi Này Có Anh,251,52
7/26/2024,8/2/2024,Sơn Tùng M-TP,Nơi Này Có Anh,121,21
8/2/2024,8/9/2024,Sơn Tùng M-TP,Nuvole Bianche,113,29
8/9/2024,8/16/2024,Sơn Tùng M-TP,Nơi Này Có Anh,246,67
8/16/2024,8/23/2024,Sơn Tùng M-TP,Nơi Này Có Anh,548,209
8/23/2024,8/30/2024,Sơn Tùng M-TP,61 Others,1460,403
8/30/2024,9/6/2024,Sơn Tùng M-TP,Nơi Này Có Anh,233,80
